Jahr,Baumart,Waldeigentum,Einschlagsursache,Einschlagsursache,Einschlagsursache,Einschlagsursache,Einschlagsursache,Einschlagsursache,,,,,,,,
,,,Wind/Sturm,Schnee/Duft,Insekten,Trockenheit,Sonstiges,Insgesamt,,,,,,,,
2015,Kiefer und L�rche,Insgesamt,1132,8,39,4,112,7,-,137,0,1422,0,,,
2015,Fichte und Tanne und Douglasie und sonstiges Nadelholz,Staatswald (Bundes- und Landeswald),2839,8,71,2,789,7,-,81,3,3781,9,
2015,Fichte und Tanne und Douglasie und sonstiges Nadelholz,K�rperschaftswald,1196,3,46,9,396,9,-,60,9,1701,0,
2015,Fichte und Tanne und Douglasie und sonstiges Nadelholz,Privatwald,2647,7,124,8,1992,0,-,95,4,4859,8,
2015,Fichte und Tanne und Douglasie und sonstiges Nadelholz,Insgesamt,6683,8,242,8,3178,5,-,237,6,10342,7,
2015,Insgesamt,Staatswald (Bundes- und Landeswald),3318,8,91,7,815,9,-,307,2,4533,6,,,
2015,Insgesamt,K�rperschaftswald,1445,2,60,5,418,1,-,330,3,2254,0,,,
2015,Insgesamt,Privatwald,3586,0,159,5,2114,3,-,232,7,6092,4,,,
2015,Insgesamt,Insgesamt,8349,9,311,7,3348,3,-,870,1,12880,0,,,
2016,Eiche und Roteiche,Staatswald (Bundes- und Landeswald),14,0,0,2,7,9,-,22,4,44,5,,,
2016,Eiche und Roteiche,K�rperschaftswald,8,4,0,7,4,7,-,24,7,38,5,,,
2016,Eiche und Roteiche,Privatwald,17,2,0,4,14,7,-,23,2,55,5,,,
2016,Eiche und Roteiche,Insgesamt,39,6,1,4,27,3,-,70,2,138,4,,,
2016,Buche und sonstiges Laubholz,Staatswald (Bundes- und Landeswald),42,7,1,1,9,6,-,150,7,204,0,,,
2016,Buche und sonstiges Laubholz,K�rperschaftswald,42,3,2,2,13,5,-,237,5,295,5,,,
2016,Buche und sonstiges Laubholz,Privatwald,77,5,3,8,24,8,-,150,3,256,5,,,
2016,Buche und sonstiges Laubholz,Insgesamt,162,6,7,1,47,9,-,538,4,756,0,,,
2016,Kiefer und L�rche,Staatswald (Bundes- und Landeswald),104,6,8,0,21,8,-,112,9,247,2,,,
2016,Kiefer und L�rche,K�rperschaftswald,25,4,6,4,20,8,-,45,0,97,6,,,
2016,Kiefer und L�rche,Privatwald,130,9,6,3,110,5,-,39,3,286,9,,,
2016,Kiefer und L�rche,Insgesamt,260,9,20,7,153,1,-,197,1,631,8,,,
2016,Fichte und Tanne und Douglasie und sonstiges Nadelholz,Staatswald (Bundes- und Landeswald),447,3,27,0,1228,0,-,128,1,1830,4,
2016,Fichte und Tanne und Douglasie und sonstiges Nadelholz,K�rperschaftswald,264,0,15,1,656,8,-,84,2,1020,2,
2016,Fichte und Tanne und Douglasie und sonstiges Nadelholz,Privatwald,648,0,25,5,2554,6,-,174,9,3403,1,
2016,Fichte und Tanne und Douglasie und sonstiges Nadelholz,Insgesamt,1359,3,67,7,4439,4,-,387,2,6253,7,
2016,Insgesamt,Staatswald (Bundes- und Landeswald),608,6,36,3,1267,4,-,413,9,2326,2,,,
2016,Insgesamt,K�rperschaftswald,340,2,24,5,695,8,-,391,2,1451,8,,,
2016,Insgesamt,Privatwald,873,6,36,1,2704,6,-,387,7,4002,0,,,
2016,Insgesamt,Insgesamt,1822,4,96,8,4667,8,-,1192,9,7779,9,,,
2017,Eiche und Roteiche,Staatswald (Bundes- und Landeswald),27,3,0,2,4,6,-,24,6,56,7,,,
2017,Eiche und Roteiche,K�rperschaftswald,19,0,0,2,2,2,-,23,9,45,3,,,
2017,Eiche und Roteiche,Privatwald,47,5,0,1,14,4,-,23,5,85,5,,,
2017,Eiche und Roteiche,Insgesamt,93,8,0,5,21,2,-,72,0,187,5,,,
2017,Buche und sonstiges Laubholz,Staatswald (Bundes- und Landeswald),80,5,2,3,8,3,-,157,1,248,2,,,
2017,Buche und sonstiges Laubholz,K�rperschaftswald,53,7,1,3,14,0,-,258,4,327,4,,,
2017,Buche und sonstiges Laubholz,Privatwald,211,0,3,0,31,2,-,275,6,520,8,,,
2017,Buche und sonstiges Laubholz,Insgesamt,345,2,6,6,53,5,-,691,1,1096,4,,,
2017,Kiefer und L�rche,Staatswald (Bundes- und Landeswald),297,3,5,9,23,6,-,112,6,439,4,,,
2017,Kiefer und L�rche,K�rperschaftswald,68,3,2,8,18,1,-,75,2,164,3,,,
2017,Kiefer und L�rche,Privatwald,610,9,6,3,294,5,-,182,5,1094,1,,,
2017,Kiefer und L�rche,Insgesamt,976,4,14,9,336,2,-,370,3,1697,9,,,
2017,Fichte und Tanne und Douglasie und sonstiges Nadelholz,Staatswald (Bundes- und Landeswald),723,9,10,0,1637,6,-,86,8,2458,4,
2017,Fichte und Tanne und Douglasie und sonstiges Nadelholz,K�rperschaftswald,377,4,9,0,831,3,-,88,4,1306,0,
2017,Fichte und Tanne und Douglasie und sonstiges Nadelholz,Privatwald,2137,7,34,8,3123,4,-,222,3,5518,1,
2017,Fichte und Tanne und Douglasie und sonstiges Nadelholz,Insgesamt,3239,0,53,8,5592,2,-,397,5,9282,6,
2017,Insgesamt,Staatswald (Bundes- und Landeswald),1129,0,18,4,1674,2,-,381,2,3202,8,,,
2017,Insgesamt,K�rperschaftswald,518,3,13,2,865,5,-,445,9,1843,0,,,
2017,Insgesamt,Privatwald,3007,0,44,2,3463,5,-,703,9,7218,6,,,
2017,Insgesamt,Insgesamt,4654,4,75,8,6003,2,-,1531,0,12264,4,,,
2018,Eiche und Roteiche,Staatswald (Bundes- und Landeswald),174,2,0,0,2,9,-,13,7,190,8,,,
2018,Eiche und Roteiche,K�rperschaftswald,78,1,0,1,2,4,-,22,8,103,3,,,
2018,Eiche und Roteiche,Privatwald,173,7,0,4,6,5,-,40,4,221,0,,,
2018,Eiche und Roteiche,Insgesamt,425,9,0,5,11,8,-,76,8,515,1,,,
2018,Buche und sonstiges Laubholz,Staatswald (Bundes- und Landeswald),457,0,0,8,14,6,-,209,0,681,5,,,
2018,Buche und sonstiges Laubholz,K�rperschaftswald,241,9,1,2,17,0,-,307,9,568,1,,,
2018,Buche und sonstiges Laubholz,Privatwald,450,7,8,9,59,7,-,331,6,850,9,,,
2018,Buche und sonstiges Laubholz,Insgesamt,1149,7,10,9,91,3,-,848,5,2100,4,,,
